基金代號,基金名稱,標的指數/追蹤指數名稱,總機,基金類型,英文名稱,地址,董事長,發言人,總經理,代理發言人,投資經理人,統一編號,總代理人,上市日期,成立日期,發行單位數/轉換數,過戶機構,過戶電話,過戶地址,指數股票型基金(ETF)之標的指數是否包含外國成份股,備註
50,元大台灣卓越50證券投資信託基金,臺灣50指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Top 50 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳重銓,98764389,,092/06/30,092/06/25,"2,422,000,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
51,元大台灣中型100證券投資信託基金,臺灣中型100指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,邱鉦淵,48772770,,095/08/31,095/08/24,"16,500,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
52,富邦台灣科技指數證券投資信託基金,臺灣資訊科技指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon Taiwan Technology Tracker Fund,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,陳又又吉,48790067,,095/09/12,095/08/28,"43,500,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
53,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,電子類加權股價指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Electronics Tech ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,蔡宗勳,48903196,,096/07/16,096/07/04,"4,988,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
54,元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,S&P台商收成指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares S&P Custom China Play 50 ETF,臺北市大安區敦化南路二段67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳威志,48903180,,096/07/16,096/07/04,"4,124,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
55,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,MSCI台灣金融指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares MSCI Taiwan Financials ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,程惇亞,48903175,,096/07/16,096/07/04,"74,154,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
56,元大台灣高股息證券投資信託基金,臺灣高股息指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Dividend Plus ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳威志,48966213,,096/12/26,096/12/13,"6,217,034,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
57,富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,MSCI&#174;臺灣指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON MSCI  TAIWAN ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,陳又又吉,48975156,,097/02/27,097/02/14,"1,527,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
58,富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金,臺灣發達指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON TAIWAN EIGHT INDUSTRIES ETF,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,簡伯容,48977083,,097/02/27,097/02/14,"696,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
59,富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金,金融保險類股指數,(02)8771-6688,國內成分證券指數股票型基金,FUBON TAIWAN FINANCE  ETF,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,楊貽甯,48975162,,097/02/27,097/02/14,"973,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
60,元大新台灣證券投資信託基金,未含電子股50指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/P-shares TWSE Taiwan Non－Tech 50 ETF,台北市敦化南路一段66號5~6樓、68號2樓之1,林武田,劉宗聖,劉宗聖,張浴澤,謝宜蓁,10342511,,097/08/18,097/08/06,"1,153,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
61,元大標智滬深300證券投資信託基金,滬深300指數,(02)27175555,連結式證券指數股票型基金,W.I.S.E. Yuanta/P-shares CSI 300 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,張克豪,25610486,,098/08/17,098/08/04,"129,116,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
6203,元大摩臺證券投資信託基金,MSCI&#174;臺灣指數,(02)27175555,國內成分證券指數股票型基金,Yuanta/ P-shares MSCI Taiwan ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,李政剛,26306553,,100/05/12,100/04/21,"12,218,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,否,
6204,永豐臺灣加權ETF證券投資信託基金,臺灣證券交易所發行量加權股價指數,(02)2361-8110,國內成分證券指數股票型基金,Sinopac TAIEX ETF,100台北市博愛路17號13樓,陳思寬,羅瑞媛,濮樂偉,陳傳毅,張怡琳,26332314,,100/09/28,100/09/06,"130,796,731",永豐證券投資信託股份有限公司,(02)2361-8110,100台北市博愛路17號13樓,否,
6205,富邦上証180證券投資信託基金,上証180指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon SSE180 ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,26334740,,100/09/26,100/08/30,"184,272,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
6206,元大中國傘型證券投資信託基金之上證50證券投資信託基金,上證50指數,(02)27175555,國外成分證券指數股票型基金,Yuanta/P-shares SSE50 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳重銓,31830488,,101/05/11,101/04/25,"53,278,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
6207,復華滬深300 A股證券投資信託基金,滬深300指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa CSI 300 A Shares Exchange Traded Fund,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,廖崇文,31835478,,101/06/22,101/06/05,"33,892,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
6208,富邦台灣釆吉50 證券投資信託基金,臺灣50指數,(02)8771-6688,國內成分證券指數股票型基金,Fubon FTSE TWSE Taiwan 50 ETF,台北市敦化南路108號8樓,史綱,史綱,林欣怡,林欣怡,洪珮甄,31840182,富邦投信,101/07/17,101/06/22,"815,540,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,否,
00625K,富邦上証180證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,上証180指數,(02)8771-6688,國外成份/加掛外幣證券指數股票型基金,FUBON SSE 180 ETF RMB,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,26334740,,105/08/08,105/08/08,"363,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00631L,元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金,臺灣50指數,(02)27175555,槓桿/反向指數股票型基金,Yuanta Daily Taiwan 50 Bull 2X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,李政剛,38619904,,103/10/31,103/10/23,"76,584,000",臺灣集中保管結算所股份有限公司,(02)27195805,臺北市復興北路363號11樓,否,
00632R,元大ETF傘型證券投資信託基金之台灣50單日反向1倍證券投資信託基金,臺灣50指數,(02)27175555,槓桿/反向指數股票型基金,Yuanta Daily Taiwan 50 Bear -1X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,陳威志,38619910,,103/10/31,103/10/23,"8,059,649,000",臺灣集中保管結算所股份有限公司,(02)27195805,臺北市復興北路363號11樓,否,
00633L,富邦中國ETF傘型證券投資信託基金之富邦上証180單日正向兩倍證券投資信託基金,上証180兩倍槓桿指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon SSE 180 Leveraged 2X Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,38633011,富邦投信,103/11/25,103/11/11,"275,458,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00634R,富邦中國ETF傘型證券投資信託基金之富邦上証180單日反向一倍證券投資信託基金,上証180反向指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon SSE 180 Inversed Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,溫芳儀,38633027,富邦投信,103/11/25,102/11/11,"63,756,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00635U,元大標普高盛黃金ER指數股票型期貨信託基金,標普高盛黃金ER指數,02-27175555,指數股票型期貨信託基金,Yuanta S&P GSCI Gold ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,洪佑銘,38651191,,104/04/15,104/04/01,"41,014,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
636,國泰富時中國A50證券投資信託基金,富時中國A50指數,227008399,國外成分證券指數股票型基金,Cathay FTSE China A50 ETF,台北市大安區敦化南路2段39號6樓,張錫,吳惠君,張雍川,張永輝,鄭立誠,42260528,國泰證券投資信託股份有限公司,104/04/01,104/03/20,"226,946,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
00636K,國泰富時中國A50證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,富時中國A50指數,227008399,國外成份/加掛外幣證券指數股票型基金,Cathay FTSE China A50 ETF,台北市大安區敦化南路2段39號6樓,張錫,吳惠君,張雍川,張永輝,鄭立誠,42260528,國泰證券投資信託股份有限,106/10/24,106/10/24,"62,100",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
00637L,元大滬深300傘型證券投資信託基金之滬深300單日正向2倍證券投資信託基金,滬深300日報酬正向兩倍指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily CSI300 Bull 2X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,李舒禾,42300253,,104/05/18,104/05/06,"1,676,106,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00638R,元大滬深300傘型證券投資信託基金之滬深300單日反向1倍證券投資信託基金,滬深300日報酬反向一倍指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily CSI 300 Bear -1X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,張克豪,42300232,,104/05/18,104/05/06,"39,948,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
639,富邦深証100證券投資信託基金,深証100指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon SZSE 100 ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,溫芳儀,42302273,富邦投信,104/06/09,104/05/20,"148,403,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00640L,富邦日本ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金,東証正向二倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon TOPIX Leveraged 2X Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,洪珮甄,42319561,富邦投信,104/09/10,104/08/27,"15,919,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00641R,富邦日本ETF傘型證券投資信託基金之富邦日本東証單日反向一倍證券投資信託基金,東証反向一倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon TOPIX Inverse-1X Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,42319582,富邦投信,104/09/10,104/08/27,"45,258,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00642U,元大標普高盛原油ER指數股票型期貨信託基金,標普高盛原油增強超額回報指數,02-27175555,指數股票型期貨信託基金,Yuanta S&P GSCI Crude Oil ER Futures ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,黃議玄,42320363,,104/09/07,104/08/27,"137,321,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
643,群益深証中小１００證券投資信託基金,中小企業１００指數,(02)27067688,國外成分證券指數股票型基金,CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND,台北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,張菁惠,42323777,無,104/12/02,104/11/12,"107,700,000",群益證券投資信託股份有限公司,(02)27067688,台北市大安區敦化南路二段69號15樓,是,
00643K,群益深証中小１００證券投資信託基金加掛—人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,中小企業１００指數,(02)27067688,國外成份/加掛外幣證券指數股票型基金,CAPITAL SZSE SME １００ INDEX EXCHANGE TRADED FUND,臺北市大安區敦化南路二段69號15樓,賴政昇,林慧玟,陳明輝,無,張菁蕙,42323777,無,105/08/26,104/11/12,"127,000",群益證券投資信託股份有限公司,(02)27067688,臺北市大安區敦化南路二段69號15樓,是,
645,富邦日本東証證券投資信託基金,東證股價指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon TOPIX ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,楊貽甯,42328908,富邦投信,104/11/06,104/10/28,"53,997,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
646,元大標普500傘型證券投資信託基金之標普500證券投資信託基金,標普500指數,02-27175555,國外成分證券指數股票型基金,Yuanta S&P 500 ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,盧永祥,42333613,,104/12/14,104/12/02,"368,985,000",臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,是,
00647L,元大標普500傘型證券投資信託基金之標普500單日正向2倍證券投資信託基金,標普500 2倍槓桿指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily S&P 500 Bull 2X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,方雅婷,42333579,,104/12/14,104/12/02,"7,416,000",臺灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,是,
00648R,元大標普500傘型證券投資信託基金之標普500單日反向1倍證券投資信託基金,標普500反向指數,02-27175555,槓桿/反向指數股票型基金,Yuanta Daily S&P 500 Bear 1X ETF,臺北市大安區敦化南路二段69號18樓及67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,方雅婷,42333563,,104/12/14,104/12/02,"182,188,000",臺灣集中保管結算所股份有限公司,02-27195805,台北市復興北路363號11樓,是,
649,復華香港ETF傘型證券投資信託基金之復華恒生證券投資信託基金,恒生指數,(02)8161-6800,國外成分證券指數股票型基金,Fuh Hwa Hang Seng ETF,台北市八德路二段308號8樓,杜俊雄,周輝啟,周輝啟,無,劉妙惠,42329884,,105/01/27,105/01/13,"4,272,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
00650L,復華香港ETF傘型證券投資信託基金之復華恒生單日正向二倍證券投資信託基金,恒指槓桿指數,(02)8161-6800,槓桿/反向指數股票型基金,Fuh Hwa Daily Hang Seng Leveraged 2X ETF,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,廖崇文,42329863,,105/01/27,105/01/13,"182,838,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
00651R,復華香港ETF傘型證券投資信託基金之復華恒生單日反向一倍證券投資信託基金,恒指短倉指數,(02)8161-6800,槓桿/反向指數股票型基金,Fuh Hwa Daily Hang Seng Inversed ETF,台北市八德路二段308號8樓,杜俊雄,張偉智,張偉智,無,廖崇文,42329879,,105/01/27,105/01/13,"28,192,000",臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,是,
652,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY證券投資信託基金,NIFTY指數,(02)8771-6688,國外成分證券指數股票型基金,Fubon NIFTY ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,溫芳儀,42376963,富邦投信,105/03/29,105/03/16,"35,535,000",富邦證券投資信託股有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00653L,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日正向兩倍證券投資信託基金,NIFTY正向2倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon NIFTY 2X Leveraged Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,王辰方,42376990,富邦投信,105/03/29,105/03/16,"13,903,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00654R,富邦印度ETF傘型證券投資信託基金之富邦印度NIFTY單日反向一倍證券投資信託基金,NIFTY反向1倍指數,(02)8771-6688,槓桿/反向指數股票型基金,Fubon NIFTY -1 Inverse Index ETF,台北市敦化南路一段108號8樓,史綱,史綱,林欣怡,林欣怡,王辰方,42376984,富邦投信,105/03/29,105/03/16,"26,466,000",富邦證券投資信託股份有限公司,(02)8771-6688,台北市敦化南路一段108號8樓,是,
00655L,國泰A50傘型證券投資信託基金之富時中國A50單日正向2倍證券投資信託基金,富時中國A50兩倍槓桿指數,227008399,槓桿/反向指數股票型基金,Cathay FTSE China A50 Daily Leveraged 2X ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42385148,國泰證券投資信託股份有限公司,105/03/18,105/03/08,"132,458,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
00656R,國泰A50傘型證券投資信託基金之富時中國A50單日反向1倍證券投資信託基金,富時中國A50反向指數,227008399,槓桿/反向指數股票型基金,Cathay FTSE China A50 Daily Inversed  ETF,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,楊子慧,42385127,國泰證券投資信託股份有限公司,105/03/18,105/03/08,"16,857,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
657,國泰日本ETF傘型證券投資信託基金之日經225證券投資信託基金,日經225,227008399,國外成分證券指數股票型基金,Cathay Nikkei 225 Currency-hedged ETF Fund,台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42389475,國泰證券投資信託股份有限公司,105/05/09,105/04/25,"18,613,000",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
00657K,國泰日經225證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,日經225,227008399,國外成份/加掛外幣證券指數股票型基金,Cathay Nikkei 225 Currency-hedged ETF Fund(USD),台北市大安區敦化南路二段39號6樓,張錫,吳惠君,張雍川,張永輝,游日傑,42389475,國泰證券投資信託股份有限公司,106/10/24,106/10/24,"29,900",台灣集中保管結算所股份有限公司,227195805,台北市復興北路363號11樓,是,
